"filename", "language", "TypeScript", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "JavaScript", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 31
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 20, 45
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 41893, 0, 0, 1, 41894
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 1, 87
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\favicon.svg", "XML", 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 0, 56
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 6, 1, 69
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\fonts\helvetiker_bold.typeface.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\fonts\helvetiker_bold.typeface.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\fonts\helvetiker_regular.typeface.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\AsetsLuxFavicon.svg", "XML", 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 0, 56
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\AsetsLuxLogo.svg", "XML", 0, 0, 0, 0, 56, 0, 0, 0, 0, 2, 0, 58
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\AsetsLuxLogoWhite.svg", "XML", 0, 0, 0, 0, 56, 0, 0, 0, 0, 2, 0, 58
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\Flare.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\Ladder.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\LadderOld.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\ASETS-LUX LUX 3\OneDrive\Desktop\hammad\pds_prod_front_end_build\asetsluxfeuirepo\public\old\icon\OptimizedFlare.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
